54,제주특별자치도 서귀포시 성산읍 일출로 18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,공주다방,POINT (126.914758 33.4472813),4.5
55,제주특별자치도 서귀포시 성산읍 일출로 14-1,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,천사,POINT (126.9144185 33.4472495),4.5
56,제주특별자치도 서귀포시 성산읍 서성일로1136번길 8,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,일출봉아로니아,POINT (126.9000707 33.4445399),4.5
57,제주특별자치도 서귀포시 성산읍 난고로42번길 24,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,컬러인제주,POINT (126.906148 33.4408725),4.5
58,제주특별자치도 서귀포시 성산읍 난고로42번길 110 101동 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,에듀카페더쌤,POINT (126.906148 33.4408725),4.5
59,제주특별자치도 서귀포시 성산읍 서성일로 1029,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25수산삼거리점,POINT (126.8822331 33.4404718),4.5
60,제주특별자치도 서귀포시 성산읍 섭지코지로 48,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,커피방듸,POINT (126.9212263 33.4380663),4.5
61,제주특별자치도 서귀포시 성산읍 섭지코지로26번길 6,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25성산신양점,POINT (126.9203422 33.4375501),4.5
62,제주특별자치도 서귀포시 성산읍 신양로 103,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,커피먹는고냉이,POINT (126.9208724 33.4367676),4.5
63,제주특별자치도 서귀포시 성산읍 신양로 114,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,세븐일레븐 신양점,POINT (126.9217313 33.4364523),4.5
64,제주특별자치도 서귀포시 성산읍 신양로 114,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨유제주섭지코지점,POINT (126.9217313 33.4364523),4.5
65,제주특별자치도 서귀포시 성산읍 신양로 102,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,망고레이필리핀디저트카페,POINT (126.9206412 33.4364202),4.5
66,제주특별자치도 서귀포시 성산읍 신양로 99,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,성산읍 코지리,POINT (126.9162583 33.4359606),4.5
67,제주특별자치도 서귀포시 성산읍 환해장성로 941,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,카페배알로,POINT (126.9163156 33.4349796),4.5
68,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,빈스앤베리즈제주1호점,POINT (126.9263432 33.4345727),4.5
69,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,빈스앤베리즈제주2호점,POINT (126.9263432 33.4345727),4.5
70,제주특별자치도 서귀포시 성산읍 섭지코지로 93-15,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,빈스앤베리즈제주3호점,POINT (126.9263432 33.4345727),4.5
71,제주특별자치도 서귀포시 성산읍 섭지코지로 107,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,던킨도너츠휘닉스점,POINT (126.9277688 33.4305782),4.5
72,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,(주)지포뮤지엄,POINT (126.9342326 33.429258),4.5
73,제주특별자치도 서귀포시 성산읍 서성일로 474,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,플로리안,POINT (126.8647243 33.4268965),4.5
74,제주특별자치도 서귀포시 성산읍 서성일로 936,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,벵삭이,POINT (126.8647243 33.4268965),4.5
75,제주특별자치도 서귀포시 성산읍 서성일로 872-18,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,GS25성산수산점,POINT (126.8647243 33.4268965),4.5
76,제주특별자치도 서귀포시 성산읍 서성일로 511 2층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,브라더커피,POINT (126.8647243 33.4268965),4.5
77,제주특별자치도 서귀포시 성산읍 서성일로 335,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,풀가개비,POINT (126.8647243 33.4268965),4.5
78,제주특별자치도 서귀포시 성산읍 서성일로 314,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,트레이통닭,POINT (126.8647243 33.4268965),4.5
79,제주특별자치도 서귀포시 성산읍 서성일로 689-21 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,제주해양동물박물관마린카페,POINT (126.8647243 33.4268965),4.5
80,제주특별자치도 서귀포시 성산읍 섭지코지로 261,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,올인카페테리아,POINT (126.931741 33.4257554),4.5
81,제주특별자치도 서귀포시 성산읍 일주동로 4227,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,호떡분식,POINT (126.889907 33.416346),4.5
82,제주특별자치도 서귀포시 성산읍 일주동로 5115,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,씨유성산신산점,POINT (126.889907 33.416346),4.5
83,제주특별자치도 서귀포시 성산읍 일주동로 4258,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,아쿠아비치커피숍,POINT (126.889907 33.416346),4.5
84,제주특별자치도 서귀포시 성산읍 일주동로 5428-40 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,185펜션,POINT (126.889907 33.416346),4.5
85,제주특별자치도 서귀포시 성산읍 혼인지로37번길 23-13 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,파랑몽생이,POINT (126.8960019 33.414559),4.5
86,제주특별자치도 서귀포시 성산읍 일주동로 4731,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,제주별,POINT (126.8999778 33.4143696),4.5
87,제주특별자치도 서귀포시 성산읍 일주동로 4282 2층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,행복모음센터,POINT (126.8999778 33.4143696),4.5
88,제주특별자치도 서귀포시 성산읍 일주동로 5251,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,지에스25성산삼달점,POINT (126.8999778 33.4143696),4.5
89,제주특별자치도 서귀포시 성산읍 중산간동로 4217,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,뉴자연으로,POINT (126.8416603 33.4119114),4.5
90,제주특별자치도 서귀포시 성산읍 온평관전로 94,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,오메오메,POINT (126.9013288 33.4118359),4.5
91,제주특별자치도 서귀포시 표선면 번영로 2454 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,목장카페드르쿰다,POINT (126.7706544 33.4092101),4.5
92,제주특별자치도 서귀포시 성산읍 온평애향로 21,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,수하리(SUHARI),POINT (126.89991 33.4077466),4.5
93,제주특별자치도 서귀포시 표선면 번영로 2570,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,곤경에빠진버거,POINT (126.7804804 33.4035709),4.5
94,제주특별자치도 서귀포시 표선면 번영로 2564-13,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,정지,POINT (126.7786807 33.4026908),4.5
95,제주특별자치도 서귀포시 표선면 번영로 2644,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,이디야커피성읍점,POINT (126.7852521 33.3992006),4.5
96,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,뚱이네,POINT (126.6846116 33.3953165),4.5
97,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,쉬림프스토어,POINT (126.6846116 33.3953165),4.5
98,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,토스트와더치카페,POINT (126.6846116 33.3953165),4.5
99,제주특별자치도 서귀포시 성산읍 한도로 257 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,유명한핫도그,POINT (126.6846116 33.3953165),4.5
100,제주특별자치도 서귀포시 표선면 성읍정의현로136번길 5-8,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,유끼네,POINT (126.7979406 33.3937793),4.5
101,제주특별자치도 서귀포시 표선면 성읍정의현로 110,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,세븐일레븐서귀포성읍점,POINT (126.8004404 33.392159),4.5
102,제주특별자치도 서귀포시 표선면 성읍정의현로 53,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,툇마루커피,POINT (126.8010884 33.3873938),4.5
103,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,물고기나무,POINT (126.8413634 33.3835243),4.5
104,제주특별자치도 서귀포시 중산간동로 7971 (동홍동),제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,산지물마을까페,POINT (126.8413634 33.3835243),4.5
105,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,쏭쏭,POINT (126.8413634 33.3835243),4.5
106,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,이디살레,POINT (126.8413634 33.3835243),4.5
107,제주특별자치도 서귀포시 표선면 중산간동로 4772,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,오늘은,POINT (126.7888722 33.382686),4.5
108,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,블루마운틴커피테마파크,POINT (126.8371501 33.3801892),4.5
109,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,베베로,POINT (126.8371501 33.3801892),4.5
110,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,제이아일랜드,POINT (126.8797688 33.378711),4.5
111,제주특별자치도 서귀포시 성산읍 일주동로 5185 가동 1층,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,레드피아노,POINT (126.8725065 33.3745513),4.5
112,제주특별자치도 서귀포시 성산읍 삼달로164번길 9-4,제주도에서 으뜸가는 식당입니다! 안 오면 후회하실거에요!,모구리의 뜰,POINT (126.8521602 33.3744469),4.5
